Crop,2014 Water Footprint (cubic meters),2014 Total Value ($USD),2014 Total Protein (Kg),2014 Total Fiber (Kg),2014 Total Vitamin A (mg),2014 Total Vitamin C (g),2014 Total Vitamin E (g),2014 Total Calcium (g),2014 Total Iron (g),2014 Total Magnesium (g),2014 Total Potassium (g),2014 Total Saturated Fat (Kg),2014 Total Sodium (g),2014 Total Protein (Kg)/m3_of_water,2014 Total Fiber (Kg)/m3_of_water,2014 Total Vitamin A (mg)/m3_of_water,2014 Total Vitamin C (g)/m3_of_water,2014 Total Vitamin E (g)/m3_of_water,2014 Total Calcium (g)/m3_of_water,2014 Total Iron (g)/m3_of_water,2014 Total Magnesium (g)/m3_of_water,2014 Total Potassium (g)/m3_of_water,2014 Total Saturated Fat (Kg)/m3_of_water,2014 Total Sodium (g)/m3_of_water
Nectarines,119906270,302243300,2307800.0,3566600.0000000005,35246400.00000001,11329200.0,1678400.0,13217400.0,629400.0,19091800.0,421068600.0,0.0,0.0,0.019246699943213978,0.02974489991223979,0.29394959913272267,0.09448379972123226,0.013997599958701075,0.11023109967477097,0.005249099984512904,0.15922269953022472,3.511647889639132,0.0,0.0
Oats,35421728,2646800,2440359.9999999995,1530639.9999999998,0.0,0.0,0.0,7797600.0,678680.0000000001,25558799.999999996,61947599.99999999,173280.0,288800.0,0.0688944367705607,0.04321189525254103,0.0,0.0,0.0,0.22013607015445436,0.01915999129122103,0.7215571188396003,1.7488587795603872,0.004891912670098986,0.008153187783498309
Olives,126227599,104516500,1165995.0000000002,4145760.0,26299665.000000004,1165995.0,2202435.0,114008400.0,4275315.0,5182200.000000001,10364400.000000002,1813769.9999999998,952229250.0,0.00923724295825353,0.03284353051823476,0.2083511467250518,0.009237242958253528,0.017448125587812217,0.903197089251456,0.0338698908469296,0.04105441314779346,0.08210882629558693,0.014369044601727707,7.543748415907047
Onions,164196864,345086930,13452406.0,20790082.000000004,0.0,90498004.00000001,0.0,282500526.00000006,2445891.9999999995,122294600.0,1789169998.0,0.0,46471948.00000001,0.08192851965796374,0.1266168031077622,0.0,0.5511554958808471,0.0,1.720498912817239,0.014896094483266132,0.7448047241633068,10.896493114509179,0.0,0.2830257951820566
Oranges,344216765,1215176100,15593175.000000002,41581800.0,192315825.0,921729900.0,3465150.0,693030000.0000001,1732575.0,173257500.00000003,3137693324.9999995,0.0,0.0,0.04530045188240614,0.1208012050197497,0.5587055732163423,2.6777600446044514,0.01006676708497914,2.0133534169958285,0.00503338354248957,0.5033383542489571,9.11545759544861,0.0,0.0
Peaches,243767504,309511500,3838680.0000000005,6397800.0,69096240.0,28150320.0,2985640.0,24738159.999999996,853039.9999999999,38813320.00000001,811667560.0000001,0.0,0.0,0.015747299935433563,0.026245499892389265,0.28345139883780407,0.11548019952651277,0.012247899949781657,0.10148259958390515,0.0034993999856519015,0.15922269934716157,3.3296790863477854,0.0,0.0
Pears,50738607,80078000,618008.0,4789562.0,2008526.0,6643586.0,154502.0,14368686.000000002,309004.0,10351634.0,179222320.0,0.0,2008525.9999999998,0.012180231909007671,0.09439679729480946,0.03958575370427493,0.13093749302183247,0.0030450579772519177,0.2831903918844284,0.0060901159545038355,0.2040188844758785,3.5322672536122246,0.0,0.039585753704274924
Peppers,98369245,308687520,4243050.0,8014650.000000001,84860999.99999999,379045800.0,1885800.0,47145000.0,1885800.0,50445150.0,825037499.9999999,0.0,12729150.0,0.043133908367396744,0.08147516024952718,0.8626781673479347,3.8532958141541087,0.01917062594106522,0.47926564852663045,0.01917062594106522,0.5128142439234946,8.387148849216032,0.0,0.12940172510219022
Pistachios,845676514,1650705000,55221143.99999999,28977432.0,71076720.0,15308831.999999998,7927787.999999999,287040600.0,10934880.000000002,330780119.99999994,2802062999.9999995,16128948.0,2733720.0000000005,0.06529818800194324,0.034265385783197946,0.08404717267576856,0.018102467960934763,0.009374492336912645,0.33942127426752683,0.012930334257810549,0.3911426112987689,3.313398153563952,0.019072243030270556,0.0032325835644526372
Plums,164663015,245025900,1382555.9999999998,2765111.9999999995,33576360.0,18763260.0,592523.9999999999,12047987.999999998,395016.0,14418084.0,310087560.0,395016.0,0.0,0.008396275265578004,0.016792550531156008,0.20390954216403726,0.11394945003284435,0.003598403685247716,0.07316754160003688,0.0023989357901651443,0.08756115634102776,1.8831645952796383,0.0023989357901651443,0.0
Potatoes,1102337693,179694670,14388620.0,15108051.000000002,0.0,141727907.0,0.0,84892858.0,5755447.999999999,164749699.00000003,3030243372.0,0.0,42446429.0,0.013052824094984476,0.013705465299733701,0.0,0.1285703173355971,0.0,0.0770116621604084,0.0052211296379937894,0.14945483588757227,2.7489247544037307,0.0,0.0385058310802042
Pumpkins,17511040,24940900,699370.0,349685.0,297931620.0,6294330.0,769307.0000000001,14686770.000000002,559496.0,8392440.0,237785800.00000003,69937.0,699370.0,0.03993880432001754,0.01996940216000877,17.013930640327473,0.3594492388801579,0.04393268475201931,0.8387148907203685,0.03195104345601404,0.4792656518402105,13.579193468805967,0.003993880432001755,0.03993880432001754
Raspberries,29199854,462129000,1008480.0,5462600.0,1344640.0,22018479.999999996,756360.0,21178080.0,588280.0,18488799.999999996,127068480.00000001,0.0,672319.9999999999,0.0345371589871648,0.18707627784714265,0.046049545316219735,0.7540613045530979,0.025902869240373598,0.7252803387304608,0.020146676075846134,0.6331812480980212,4.351682032382765,0.0,0.02302477265810986
Rice,2968847734,846270000,140820689.99999997,25784070.000000004,0.0,0.0,0.0,555349200.0000001,15867120.0,495847500.0,2280898500.0,1983390.0,99169500.0,0.04743277615328182,0.008684874506938929,0.0,0.0,0.0,0.18705883553406924,0.0053445381581162625,0.1670168174411332,0.7682773602292128,0.0006680672697645328,0.03340336348822664
Spinach,2535865,19861000,455416.0,345488.00000000006,73808800.0,4397120.0,314080.0,15704000.0,424008.00000000006,12563200.0,87424168.00000001,15704.0,12563200.0,0.17959000183369384,0.1362406910462505,29.10596581442624,1.7339724314977336,0.12385517367840954,6.192758683920477,0.1672044844658529,4.954206947136382,34.475087593385304,0.006192758683920477,4.954206947136382
Squash,10083176,29199700,483252.0,442981.00000000006,3906286.9999999995,6846070.0,40271.0,6040649.999999999,161084.0,6765528.000000001,105469749.0,0.0,724878.0,0.047926565994682625,0.043932685495125745,0.38740640845701785,0.6789596849246705,0.0039938804995568854,0.5990820749335327,0.015975521998227542,0.6709719239255569,10.459973028339483,0.0,0.07188984899202394
Strawberries,115424522,1834816000,6597303.999999999,18849440.0,12252136.0,554173536.0,2827415.9999999995,148910576.00000003,3769888.0,124406304.0,1444809576.0000002,0.0,12252135.999999998,0.05715686654522164,0.16330533298634756,0.10614846644112591,4.801176789798618,0.024495799947952132,1.290112130592146,0.032661066597269514,1.077815197709894,12.517353773403542,0.0,0.1061484664411259
Sweet Potatoes,226353362,243541000,4886400.000000001,9467400.0,2165286000.0,7329599.999999999,916199.9999999999,91619999.99999999,1832399.9999999998,79098600.0,1029198000.0000001,1527000.0,167970000.0,0.02158748585320328,0.04182575384058135,9.565954668700702,0.03238122877980491,0.004047653597475614,0.40476535974756134,0.008095307194951228,0.349447427248728,4.54686420783094,0.0067460893291260236,0.7420698262038626
Tomatoes,302222015,354707000,4692150.000000001,6256200.0,220009700.00000003,71424950.0,2606750.0000000005,52135000.00000001,1564049.9999999998,57869850.0,1236642200.0,0.0,26067500.000000004,0.01552550696877592,0.02070067595836789,0.7279737712026042,0.23633271719136675,0.008625281649319956,0.17250563298639912,0.005175168989591972,0.19148125261490298,4.091833614437387,0.0,0.08625281649319956
Walnuts,4108890885,2356584000,102478400.0,45171400.0,5393600.0,8764600.0,4719400.0,662738599.9999999,19551799.999999996,1067258600.0000001,2971873600.0000005,41126200.0,11461400.0,0.02494064769987193,0.010993574972969865,0.0013126656684143121,0.002133081711173257,0.0011485824598625233,0.1612937940064086,0.004758413048001881,0.25974371913748207,0.7232787832962861,0.010009075721659131,0.0027894145453804136
Watermelon,66429179,108088100,1901964.0,1267976.0,89709301.99999999,25676513.999999996,316994.0,22823568.0,633988.0,31382406.000000004,354399292.0,0.0,0.0,0.028631454258978572,0.019087636172652384,1.3504502592151557,0.38652463249621066,0.004771909043163096,0.3435774511077429,0.009543818086326192,0.4724189952731465,5.334994310256341,0.0,0.0
